source_repo	source_path	dest_path	source_commit	source_sha256	sanctioned_adapt	adapted_now
CH	docs/adr/0003-domain-coupling-bands.md	law/adr/0003-domain-coupling-bands.md	87e1bcc3e03bdc3fed1924219c8e181dcf8646e7	4efd112fb6d121a7be18045080e55544ffdb5f9ea0a520cf30f76468355f0d29	0	no
CH	docs/adr/0004-minimal-touch-edits-to-partially-visible-files.md	law/adr/0004-minimal-touch-edits-to-partially-visible-files.md	87e1bcc3e03bdc3fed1924219c8e181dcf8646e7	03e4fb1c72a19144e67b8bbe3f6770aed2c7e271429c9fecbc81e68fab59302c	0	no
CH	docs/adr/0005-documentation-discipline.md	law/adr/0005-documentation-discipline.md	87e1bcc3e03bdc3fed1924219c8e181dcf8646e7	c9bfff39eaa66f0d9b6220417e0d08b5689f0971730a316756cf63e2bf9f6d9b	0	no
CH	docs/adr/0006-source-file-headers.md	law/adr/0006-source-file-headers.md	87e1bcc3e03bdc3fed1924219c8e181dcf8646e7	2df97499f7726a8022098e604a70d38711c9d6954ba7250e71310448b4854d23	0	no
CH	docs/adr/0007-file-size-and-information-density.md	law/adr/0007-file-size-and-information-density.md	87e1bcc3e03bdc3fed1924219c8e181dcf8646e7	242635dfdd1eacdb48a36d141aa01d18b9142c9205c2905a7dc59bff6f3f73b6	0	no
CH	docs/adr/0008-classification-discipline.md	law/adr/0008-classification-discipline.md	87e1bcc3e03bdc3fed1924219c8e181dcf8646e7	b32e828de9f283cdd64f144d000f869ddad7146be7937504b406b66b57f4c3e7	0	no
CH	docs/adr/0009-performance-investigation-discipline.md	law/adr/0009-performance-investigation-discipline.md	87e1bcc3e03bdc3fed1924219c8e181dcf8646e7	928fc37a5e3e9ff0d866822cd4fb95ee4c07d52fe3639d8f41c07128855f2dca	0	no
CH	docs/adr/0010-render-locality-not-applicable.md	law/adr/0010-render-locality-not-applicable.md	87e1bcc3e03bdc3fed1924219c8e181dcf8646e7	9cfdbc06472c2e4b2d6888bae8db31363f7c9223189a7fbfff3b554e2a313851	0	no
CH	docs/adr/0011-mechanization-discipline.md	law/adr/0011-mechanization-discipline.md	87e1bcc3e03bdc3fed1924219c8e181dcf8646e7	140c157e026e2715a8d9294e89ff7db9b8de37624cd45dce019a0a446e8402fd	0	no
CH	docs/adr/0012-compositional-and-structural-hygiene.md	law/adr/0012-compositional-and-structural-hygiene.md	87e1bcc3e03bdc3fed1924219c8e181dcf8646e7	03f6d46e79afd73243ca5ac006d7ca74b459ce91b496e6212e524f59a25bf8bd	0	no
CH	docs/adr/0013-execution-stamina-and-structural-completeness.md	law/adr/0013-execution-stamina-and-structural-completeness.md	87e1bcc3e03bdc3fed1924219c8e181dcf8646e7	45811def7adcaaa526eb3f6e9e670f2805b894f0eaa4982ac4b6e2c7873ee1fd	0	no
CH	docs/adr/0014-executor-second-opinion.md	law/adr/0014-executor-second-opinion.md	87e1bcc3e03bdc3fed1924219c8e181dcf8646e7	5c4fb3d11a8d513e901ff8e8e96094c6fbbbe252c1edb380246163b7a3a36e8e	0	no
CH	docs/adr/0015-verification-substrate-discipline.md	law/adr/0015-verification-substrate-discipline.md	87e1bcc3e03bdc3fed1924219c8e181dcf8646e7	10249945791243e225f08030518894261718fa00b0bf0d28d3979c544b140448	0	no
CH	docs/adr/0016-the-service-contract-is-an-enforcement-surface.md	law/adr/0016-the-service-contract-is-an-enforcement-surface.md	87e1bcc3e03bdc3fed1924219c8e181dcf8646e7	ec22689272e18e47c046a978189e9267ce3860abba565a4b4fc9dfcd75a5407a	0	no
CH	docs/adr-evidence/seen-red/04-consumer-no-vacuous-pass/red-specimen.py	seen-red/04-consumer-no-vacuous-pass/red-specimen.py	87e1bcc3e03bdc3fed1924219c8e181dcf8646e7	ddc6da7d59d0ba7bd4a619a759f36580cdc2efcac0813aa0240085104791a917	0	no
CH	docs/adr-evidence/seen-red/04-consumer-no-vacuous-pass/red.txt	seen-red/04-consumer-no-vacuous-pass/red.txt	87e1bcc3e03bdc3fed1924219c8e181dcf8646e7	da28d711969bad1250511c7573fc3951aae8f4dc954c05441c1b48155d13073e	0	no
CH	docs/adr-evidence/seen-red/05-verify-adapter/red-specimen.py	seen-red/05-verify-adapter/red-specimen.py	87e1bcc3e03bdc3fed1924219c8e181dcf8646e7	e0102b4fb583cf14e454301dc714477450e06b74f37b1de2bb3a93ddd7d9e151	0	no
CH	docs/adr-evidence/seen-red/05-verify-adapter/red.txt	seen-red/05-verify-adapter/red.txt	87e1bcc3e03bdc3fed1924219c8e181dcf8646e7	d8ee7ffa372182540295925a12a24a03b52fa9d61a2c6a2a919f88b88301f015	0	no
CH	docs/adr-evidence/seen-red/06-append-only-integrity/red-specimen.py	seen-red/06-append-only-integrity/red-specimen.py	87e1bcc3e03bdc3fed1924219c8e181dcf8646e7	4fbb30780198425d0c0fb54e5a322ae2898b0f0cbbb5fd4fdb757701abdcc651	0	no
CH	docs/adr-evidence/seen-red/06-append-only-integrity/red.txt	seen-red/06-append-only-integrity/red.txt	87e1bcc3e03bdc3fed1924219c8e181dcf8646e7	76f86812ad447b27443f20154c276d6f24f10cb5d6fc83d3e363511b2d3f6a34	0	no
CH	docs/adr-evidence/seen-red/09-relevant-act-classification/red-specimen.py	seen-red/09-relevant-act-classification/red-specimen.py	87e1bcc3e03bdc3fed1924219c8e181dcf8646e7	3905e17a9ed08d7282e18849d0c9c5ddd36bd4ad1b8c0f4a5339385bcf36a3bc	0	no
CH	docs/adr-evidence/seen-red/09-relevant-act-classification/red.txt	seen-red/09-relevant-act-classification/red.txt	87e1bcc3e03bdc3fed1924219c8e181dcf8646e7	e953c3a51961c86e05870a2a09cd84600522d205c0180b71e6ceff77d28751b3	0	no
CH	docs/adr-evidence/seen-red/12-contemporaneity-degrade/red-specimen.py	seen-red/12-contemporaneity-degrade/red-specimen.py	87e1bcc3e03bdc3fed1924219c8e181dcf8646e7	57fdfbaddf55decd5d1ba5fdde5455fe8803a844bf195befc944270dda60831a	0	no
CH	docs/adr-evidence/seen-red/12-contemporaneity-degrade/red.txt	seen-red/12-contemporaneity-degrade/red.txt	87e1bcc3e03bdc3fed1924219c8e181dcf8646e7	f81d69418e142455c0aae788aca8ba3cf7de682db8197004bd58dfece476f3c5	0	no
CH	docs/adr-evidence/seen-red/18-bash-write-classification/red-specimen.py	seen-red/18-bash-write-classification/red-specimen.py	87e1bcc3e03bdc3fed1924219c8e181dcf8646e7	6a889d79c52a53e8eedef367ff4ac0d9d183017f691a29bca5a9089fbca4b75b	0	no
CH	docs/adr-evidence/seen-red/18-bash-write-classification/red.txt	seen-red/18-bash-write-classification/red.txt	87e1bcc3e03bdc3fed1924219c8e181dcf8646e7	267745ad9ca7ae5b29d0af3911e14d5e55c31b3a1e60734e75e62c7456479e78	0	no
CH	docs/adr-evidence/seen-red/24-destructive-ddl-guard/red-specimen.py	seen-red/24-destructive-ddl-guard/red-specimen.py	87e1bcc3e03bdc3fed1924219c8e181dcf8646e7	a09c12d015d4d582d5bd55e937a3eb62660de5a8963719a1646c09bab824b183	0	no
CH	docs/adr-evidence/seen-red/24-destructive-ddl-guard/red.txt	seen-red/24-destructive-ddl-guard/red.txt	87e1bcc3e03bdc3fed1924219c8e181dcf8646e7	8a82b9a9d6264dc1fee74fc1c0316f9853cbe3f900e1da2dff371450561c54d6	0	no
CH	docs/adr-evidence/seen-red/25-operator-turn-extraction/red-specimen.py	seen-red/25-operator-turn-extraction/red-specimen.py	87e1bcc3e03bdc3fed1924219c8e181dcf8646e7	08c0713686bc7ad35f289f586f0e7069db84091681f521c9786c9fe310b44eb7	0	no
CH	docs/adr-evidence/seen-red/25-operator-turn-extraction/red.txt	seen-red/25-operator-turn-extraction/red.txt	87e1bcc3e03bdc3fed1924219c8e181dcf8646e7	82cd9d8f2b848128589ee0fd1b0a4321d4f31bc4805466d2b9bba65accf59134	0	no
CH	docs/adr-evidence/seen-red/31-interception-stamp/e17-armed-instance-refusal.txt	seen-red/31-interception-stamp/e17-armed-instance-refusal.txt	87e1bcc3e03bdc3fed1924219c8e181dcf8646e7	b756a4c67c3c8fa4d601900634a47574acf802829fcdbef865e0876e6d533e39	0	no
CH	docs/adr-evidence/seen-red/31-interception-stamp/e17-negative-control.txt	seen-red/31-interception-stamp/e17-negative-control.txt	87e1bcc3e03bdc3fed1924219c8e181dcf8646e7	e601a5e4ba84fc19292912e813c350f410a7106e144f2b0980d7c5d2a8bc78bd	0	no
CH	docs/adr-evidence/seen-red/31-interception-stamp/e17-refusal-fixture-green.txt	seen-red/31-interception-stamp/e17-refusal-fixture-green.txt	87e1bcc3e03bdc3fed1924219c8e181dcf8646e7	aa384130f03fb96b5c4f592b8fde584855d038d29ea31c302985e1035a2a76b0	0	no
CH	docs/adr-evidence/seen-red/31-interception-stamp/e17-refusal-red.txt	seen-red/31-interception-stamp/e17-refusal-red.txt	87e1bcc3e03bdc3fed1924219c8e181dcf8646e7	16ce18ac44b2770a042e57443af9b7abd83f1a70a5846e3804d5c22be01827b3	0	no
CH	docs/adr-evidence/seen-red/31-interception-stamp/independence-teaching-frozen.txt	seen-red/31-interception-stamp/independence-teaching-frozen.txt	87e1bcc3e03bdc3fed1924219c8e181dcf8646e7	7a66e04ee2d7fbaa9dc38d34806d9628c14decacea65571cab8faf52714c3e86	0	no
CH	docs/adr-evidence/seen-red/31-interception-stamp/question-freight-frozen.txt	seen-red/31-interception-stamp/question-freight-frozen.txt	87e1bcc3e03bdc3fed1924219c8e181dcf8646e7	ed3ce2039578c5d3b7e1415654ae9e1dc398b0d03da7f4f67faccb54de787d30	0	no
CH	docs/adr-evidence/seen-red/31-interception-stamp/red.txt	seen-red/31-interception-stamp/red.txt	87e1bcc3e03bdc3fed1924219c8e181dcf8646e7	3df5c47c520aa6b86f52dde7888ab41d92ec8174cd275184f8a8d21d5dc8ae96	0	no
CH	docs/adr-evidence/seen-red/31-interception-stamp/teaching-frozen.txt	seen-red/31-interception-stamp/teaching-frozen.txt	87e1bcc3e03bdc3fed1924219c8e181dcf8646e7	a7706238aef004bf8e8e3acb9b8c67108b6203c140f15bd253439ecd57318192	0	no
CH	docs/adr-evidence/seen-red/33-staging-guard/red-specimen.py	seen-red/33-staging-guard/red-specimen.py	87e1bcc3e03bdc3fed1924219c8e181dcf8646e7	44dbc3c78ae0e03941070505e7376f547d872991f7595dd004eb97b1ab25baa2	0	no
CH	docs/adr-evidence/seen-red/33-staging-guard/red.txt	seen-red/33-staging-guard/red.txt	87e1bcc3e03bdc3fed1924219c8e181dcf8646e7	a90d4f13dfc35f7c609793c06c1325fbfed89df33081341ca1a3edc2ca2f00d6	0	no
CH	docs/adr-evidence/seen-red/35-delivery-freight-integrity/red-specimen.py	seen-red/35-delivery-freight-integrity/red-specimen.py	87e1bcc3e03bdc3fed1924219c8e181dcf8646e7	bbb468e118647f09139b704f79c9c3bf38f879e15ee5930dbc288375fd603e71	0	no
CH	docs/adr-evidence/seen-red/35-delivery-freight-integrity/red.txt	seen-red/35-delivery-freight-integrity/red.txt	87e1bcc3e03bdc3fed1924219c8e181dcf8646e7	01392ef6fb45c0ecab9887c486f7a77be1a313660800eabd9476ef5933310323	0	no
CH	docs/adr-evidence/seen-red/36-consumer-substrate-required/red-specimen.py	seen-red/36-consumer-substrate-required/red-specimen.py	87e1bcc3e03bdc3fed1924219c8e181dcf8646e7	95bfe8b063dec0dbd14888c87d74f3533b0bd99ac67a12bea5442037a5d5d953	0	no
CH	docs/adr-evidence/seen-red/36-consumer-substrate-required/red.txt	seen-red/36-consumer-substrate-required/red.txt	87e1bcc3e03bdc3fed1924219c8e181dcf8646e7	b9d01bf62ed4102bad585d2b0715fa53dfb3f3d12fe7d4f9ff04d5bf16daee51	0	no
CH	docs/adr-evidence/seen-red/38-review-without-detail/design-witness.txt	seen-red/38-review-without-detail/design-witness.txt	87e1bcc3e03bdc3fed1924219c8e181dcf8646e7	2d02291c3e67fa59074476b35c074fdca3188d4647720ccecdb722b7c1c59e56	0	no
